id,twitter_query,followers_count,statuses_count,favourites_count,name,listed_count,friends_count,cluster
dat_deltagirl,LINK,1164,7495,12509,Cruise Mistress 🦅🐺💰,1,687,cluster_0
dave_p_baller,ETH,0,0,0,Dave 🏀 🐺,0,0,cluster_0
daviidromadon,SHIB,146,49469,5868,David R 🎃,2,4922,cluster_0
dhung98171,SOL,171,3700,2784,duongmanhhung (fingzing90.near),2,2429,cluster_0
diego__rs,SOL,18793,18341,29027,Diego Rodríguez,29,98,cluster_0
diosperspective,SHIB,217,4913,28078,Lucidio The Traveler,2,208,cluster_0
druigglorya,SOL,1589,41469,41326,n a a 🌙,8,2274,cluster_0
dumbeelol,SOL,664,19655,39496,bee🍯,24,516,cluster_0
e_damorela,SOL,16038,61109,59050,Made In Lagos 🦁 🔺,0,9095,cluster_0
eimueci,DOGE,0,0,0,Eimu Eci,0,0,cluster_0
el_recuento,SOL,0,0,0,Margot Martín (@El_Recuento) 🎤,0,0,cluster_0
elekkkkk,SOL,81,2842,1306,NFT Life,1,710,cluster_0
elijah35420418,ETH2,721,13155,22344,Dishta🇪🇹🇪🇷🇰🇪🇸🇴🇺🇬🇩🇯,1,501,cluster_0
elsurdo00,SOL,26,620,719,Jose Taveras,1,88,cluster_0
elysium_nhaama,SOL,0,0,0,Sol🌸✨Officially Unorthodox™,0,0,cluster_0
enhypenloveeee,LINK,172,1000,4796,loveee,0,473,cluster_0
enokipeyangu,SOL,55643,12758,8826,げんこうしろぽめみ,165,94,cluster_0
ermannokilgore,SOL,0,0,0,Kilgore,0,0,cluster_0
erroestwn,SHIB,129,6007,1540,Srd46,0,1406,cluster_0
erward64156349,SOL,8,275,122,Erward,0,129,cluster_0
eulili03,SOL,0,0,0,Lili ✨,0,0,cluster_0
fadyhanesh,LINK,2,27,36,Fady Abu Hanesh,0,68,cluster_0
fajitagawd,SHIB,100,955,604,SaiyanGawd,1,130,cluster_0
farohaaaa555555,LINK,555,42933,16538,المتفائلة 🍂#احباب_اسلوب_راقي,0,4999,cluster_0
fatooo0my,BTC,0,0,0,Fatma🇵🇸🇴🇲,0,0,cluster_0
felipediola,SOL,0,0,0,Felipe subterrâneo🔥,0,0,cluster_0
feraounr,SHIB,26,592,4108,FERAOUN RADOUANE,0,333,cluster_0
fhabcd1234,LINK,70,1743,460,-,0,942,cluster_0
flickersoobin,LINK,0,0,0,lara croft || estudando,0,0,cluster_0
flsevilla,SOL,7798,17822,10569,Feria Libro Sevilla,180,1665,cluster_0
flterjmin,LINK,0,0,0,berry⁷ (ia)📚,0,0,cluster_0
frengkijtk11,LINK,0,82,69,Frengki Simanjuntak,0,63,cluster_0
froggiebr,LINK,508,12930,22826,NOME DO GATTI NO TT,2,368,cluster_0
gdlsex1523,LINK,137,13285,29813,....,0,2860,cluster_0
ghostrider_26,SOL,46,589,421,Aayush.near,1,463,cluster_0
goldenpuppy77,SOL,367,23195,23529,Crypto puppyop,2,595,cluster_0
haticebalk9,SOL,152,4109,4333,Hatice Balkı🇹🇷❤🇹🇷NE MUTLU TÜRKÜM DİYENE🇹🇷🌼,0,183,cluster_0
hemlockestone,LINK,527,4324,3558,🦇 Hemlocke 🦇 VTuber 🦇 Comm Slots Open,30,561,cluster_0
hermperor,LINK,2198,10538,40961,emperor's tips⚽⚽,10,127,cluster_0
hiyamjahanbakh1,LINK,1,186,149,hiyam. jahanbakhsh.,0,133,cluster_0
hublimandi,LINK,6937,43495,6589,Hubballi Dharwad,33,191,cluster_0
hunterray09,SHIB,5040,61257,173963,Ray 🤪🤪🤪,1,5282,cluster_0
iam_mariabelen,SOL,17,710,7183,☁️maria☁️,0,219,cluster_0
ihs_heeseung,SOL,128432,14751,7467,세라 • ᴇɴ-⁷,1957,90,cluster_0
im_ck9696,LINK,15,1122,1388,Everyday.IM💜,0,99,cluster_0
imraj264,LINK,2469,58995,108449,K. Raj kumar 🧢🎄,0,675,cluster_0
imxpdcaution_sg,LINK,27,18687,36783,-/𝘿𝙋𝙍𝙈𝙄𝙍𝙉𝘼/𝙉𝙊 𝙇𝙄𝙈𝙄𝙏 ᴹᵁᴸᵀᴵ🦋(💎),0,627,cluster_0
interlude_ph,LINK,0,0,0,✨Interlude PH GOs✨,0,0,cluster_0
investdaniel2,SOL,408,2266,803,Uzoesi daniel,2,2245,cluster_0
irinnadiana,LINK,33,2532,3320,irinna diana,1,85,cluster_0
ismhaa1201,SOL,23,13982,6342,Ismhaa,0,1007,cluster_0
itssirrop,LINK,13541,21790,28458,Mighty Yobterik.,8,10524,cluster_0
iwantfelii,LINK,19000,9708,8071,Feli 😚,38,99,cluster_0
iwwdee_168,SHIB,195,16931,2669,Hokiterus168,1,3570,cluster_0
jaclynrunciman,SOL,0,40,0,Jaclyn Runciman,0,0,cluster_0
jaechowchow,LINK,1673,41072,73050,jei,75,1381,cluster_0
jaehyunsbt,LINK,671,32661,16279,ً,8,605,cluster_0
jaemin_cityxx,SHIB,95,22103,11011,ako nalang kasi,1,3484,cluster_0
jahkayciityx_,SHIB,765,70549,75390,Saji⁷🧜🏻‍♀️,4,2140,cluster_0
jairaj95730079,SHIB,1,87,221,Jairaj,0,18,cluster_0
jakes43670259,LINK,12,3,42,Jakes,0,83,cluster_0
jalynnkelley1,LINK,11,248,285,Jalynn Kelley,0,45,cluster_0
jaocandeias,LINK,0,0,0,joao,0,0,cluster_0
jasfa78,DOGE,59,1232,75,Jasfa,0,75,cluster_0
jash_modh,SOL,0,0,0,Jash Modh,0,0,cluster_0
jay49099963,SHIB,4,119,79,Horridz,0,92,cluster_0
jervipn11,SHIB,0,0,0,Jervipn11,0,0,cluster_0
jesblessed09,SOL,53,28609,19693,🎉💎BiGwiNtoDaY💎🎉,1,1308,cluster_0
jimmy99er,SHIB,1663,5853,9827,Brandon,6,2265,cluster_0
joe41998354,SHIB,0,54,76,joe,0,19,cluster_0
joevitili,LINK,114,47,72,Vitili Joe,0,360,cluster_0
johnlesliemark,LINK,0,0,0,John,0,0,cluster_0
justb_thbb,LINK,608,3266,476,JUST B THAILAND,2,20,cluster_0
karalareau,LINK,3225,23384,37604,Kara LaReau,153,4027,cluster_0
karanyadav0212,SHIB,49,589,400,KARAN 💎🌸,1,525,cluster_0
karthikselvar15,LINK,420,7773,26663,karthik selvaraj.,0,750,cluster_0
kediliko9657,SOL,14,1333,904,Mustafa,0,270,cluster_0
kemmyjoyyy,LINK,739,4727,17485,Kemunto 💕,0,869,cluster_0
kheymax,SOL,97,1169,545,alhasan,0,930,cluster_0
kiharanuori,LINK,5,12205,8911,Kihara,0,40,cluster_0
kikoinoman0,LINK,25,8703,29387,No soy yo,0,70,cluster_0
kimlong567,SHIB,134,102,42,Kim Long,0,192,cluster_0
klodea_1,SHIB,50,4515,1482,كلَُــــــــــــوديا,0,3856,cluster_0
kope562,LINK,12,62,14,Kope,0,176,cluster_0
kotaynft,SOL,94,1518,1128,Kotay NFT,0,271,cluster_0
kssamiya,LINK,213,9260,4692,K,1,226,cluster_0
kumo_usa91,LINK,0,0,0,kumo 🌟,0,0,cluster_0
kurdopia,SOL,724,3330,11122,Kurdopia (Cardano Stake Pool : KURD),13,1249,cluster_0
lafundida,LINK,600,34169,73560,Josefina,0,397,cluster_0
lalalin_9799,LINK,55,42638,6407,-rest-체리린🌸🍒,0,301,cluster_0
lampbox2021,LINK,41,1448,2923,Lampbox2021,0,287,cluster_0
langracoquta,LINK,47116,163,11156,ngrapoderd,25,206,cluster_0
lanigankathy,LINK,26,413,1165,Kathy Lanigan,0,50,cluster_0
lawanda36618336,LINK,0,59,0,LawandaSilva,0,47,cluster_0
leinad_entre_,LINK,545,16701,2749,Siboniso,0,2378,cluster_0
leonard62902933,LINK,5,274,257,Leonardo Costa,1,242,cluster_0
liverpool_si,LINK,326,8229,6962,SI Liverpool,4,578,cluster_0
lizzystorm4uxxx,LINK,94,183,93,Traci ❤️ Lizzy Storm,0,74,cluster_0
loona_marketph,LINK,1562,5041,422,LMPH / Raffle for a Cause 📌,1,24,cluster_0
loonacontexxt,SHIB,1301,45199,138836,Nathyy,1,4054,cluster_0
lucasbd,SHIB,227,15139,2180,Lucas Oliveira,4,145,cluster_0
lunacat1902,LINK,919,9417,42008,🌹rose🌹,2,186,cluster_0
lunadelcruz,SOL,0,0,0,Luna Del Cruz,0,0,cluster_0
lw3031,SOL,179,65,49,Lockdown Warriors 3031 - 3D Sol NFTs,2,95,cluster_0
maagicshooop,LINK,41,13924,27972,☾ sofi ⁷ 🏳️‍🌈,1,50,cluster_0
mandyja9,SOL,231,13195,8494,Mandy Jackson,2,316,cluster_0
manojpandian46,SOL,10,231,161,Manojpandian,2,465,cluster_0
marialunadelsol,SHIB,173,608,1203,Luna29,3,433,cluster_0
marlenepieroni,SOL,325,12546,64062,Pieroni 🌵🌵,0,595,cluster_0
martaaprilmae,LINK,1268,854,25346,Marta April Mae,4,74,cluster_0
mbwaknikijana,SOL,90,735,898,Tea.Killer,1,30,cluster_0
mdselim98283670,LINK,9,1774,819,Md Selim Hasan,0,584,cluster_0
mehdigermabdari,SHIB,58,3855,3509,Mehdigermabdari,1,1666,cluster_0
mehmetduman3333,SHIB,68,5254,9446,Mehmet Duman,0,470,cluster_0
mehrankia2,ETH,144,776,1107,Mehran kia,1,299,cluster_0
metanetflix,LINK,18876,7,0,MetaNet,2,1,cluster_0
michaelristeski,SHIB,115,1282,11203,Michael Risteski,2,1177,cluster_0
mikazukimoon267,LINK,219,65137,88874,さくつき とうこ,0,599,cluster_0
mikemo93,LINK,2863,27613,56496,Mikebarbell,34,128,cluster_0
milonro80406465,LINK,177,4316,1746,Milon roy 🎏,1,1360,cluster_0
mindofmask,SHIB,490,1057,3063,Carson Mask,0,1187,cluster_0
mjiohnim_,LINK,912,27370,44840,mas💚🔫,2,749,cluster_0
mlittlewoodtim2,SHIB,12,109,20,mlittlewood@timelessmedical.com,0,90,cluster_0
mrb20012001,SOL,391,2189,1163,Grom Lord,2,309,cluster_0
nachoafysalud,LINK,4111,12010,73681,Ignacio Hernando Valle,33,756,cluster_0
narukkimmy,LINK,0,64,32,Kimmy Naruk,0,14,cluster_0
nathalyandraos,SOL,0,0,0,ηαтнαℓу,0,0,cluster_0
naufalbahar1,SOL,3,620,431,naufal.bahar,1,326,cluster_0
neftega,LINK,5640,7676,6847,Ethiopia Is Special Country!!🇪🇹,2,1212,cluster_0
njakunchon,SOL,42,4017,34646,Npj_40,9,421,cluster_0
nns3ew,LINK,0,247,31,Ns3ew N,0,16,cluster_0
noexx21,LINK,334,2905,837,▫️のえる🕊🤍𓂃𓈒𓐍◌𓈒,0,1097,cluster_0
norwichcityfc,LINK,794836,83171,2837,Norwich City FC,3826,178,cluster_0
nyx_eth,ETH,0,0,0,nyx.eth,0,0,cluster_0
o2thera,SOL,24,162,161,,0,106,cluster_0
oea_oficial,SOL,0,0,0,OEA,0,0,cluster_0
oluwadaresteph3,SOL,7,183,425,Oluwadare Stephen,0,144,cluster_0
ompanch04364405,SHIB,4,446,600,om Panchal,2,25,cluster_0
outbacktrader,DOGE,0,0,0,outbacktrader,0,0,cluster_0
pabloes11412308,SOL,4,1185,654,pablo esco,0,443,cluster_0
pankuu942,LINK,0,10,0,Pankaj Paul,2,14,cluster_0
picknyonakasiaq,SHIB,640,17038,8305,bogart 2.0|$100 CUTIE|MANIFESTING BIG WINS 🍀🕯️🧁,2,3621,cluster_0
qubfoodprof,LINK,0,0,0,Prof Chris Elliott OBE,0,0,cluster_0
rahez13,SOL,200,6822,8563,Rahez😎🎏,1,1603,cluster_0
raihanmondal786,LINK,19,1691,828,Raihanmondal786,1,545,cluster_0
rastronaut_,SOL,0,0,0,(GANG)RavsMera_,0,0,cluster_0
rasutarun,SOL,12,2384,1563,Tarun,1,1330,cluster_0
raylpinto,LINK,30,2429,2596,Rayl Oliveira Pinto,0,142,cluster_0
rezekialfahoki7,SHIB,428,49971,45602,🇲🇨Sandini Nuragni🍀🍀🍀🍀6️⃣5️⃣🎹 #REZEKIALFA,0,4995,cluster_0
riamulyani12,LINK,473,38040,53788,RiaM 💃♨️🍊 🎷,3,511,cluster_0
rickthlsizzler,LINK,1562,9916,3253,ؘ,0,1469,cluster_0
risingstarlarry,ETH2,0,0,0,RISING⭕️STAR,0,0,cluster_0
rohmanra1,LINK,15,1344,776,Rohman,0,632,cluster_0
royaltruth20,LINK,407,653,950,Royal_T 🌟Free OF🌟,0,450,cluster_0
ruben_botte,SOL,0,34,38,Ruben BotCoin ₿,0,27,cluster_0
rulo_rodr,SOL,0,0,0,Sheridan,0,0,cluster_0
sadiqkhan,ETH2,0,0,0,Sadiq Khan,0,0,cluster_0
saintsupmexico,LINK,801,21017,14253,Saint Sup México 🌶🇲🇽 (Slow),1,145,cluster_0
saitohanna,LINK,2495,2208,1579,Hanna 💸PRIVACY R$25 /PACKs,6,106,cluster_0
salsasenoritas,ETH2,0,0,0,Tamra King,0,0,cluster_0
sammykecho,ETH2,8,468,389,Samuel As,0,69,cluster_0
sampauk_,LINK,0,0,0,Stolen&Missing Pets,0,0,cluster_0
samuxehi,SOL,39,489,367,Samuxehi,1,329,cluster_0
sarah_saad143,LINK,0,0,0,Sarayy 😉😍,0,0,cluster_0
schoolclimate,LINK,8800,4765,516,schoolclimate,0,6730,cluster_0
sebastian_johns,SHIB,874,5471,4850,SHIBA- DIAMOND HAND,3,25,cluster_0
secstalk,LINK,306,531,57,Amelia Jones,8,481,cluster_0
sennasati0nal,LINK,843,64642,62622,L E G E N D • A K,0,682,cluster_0
shemarwavy,LINK,845,64212,26943,PullUpMan,2,388,cluster_0
shib_bowner,SHIB,511,1129,1048,Shib Bowner 🚀,4,2467,cluster_0
shiba2damoon24,SOL,0,0,0,Shiba2damoon,0,0,cluster_0
sigmoid20,LINK,13,18007,58075,Sigmoid,0,495,cluster_0
simon_bscx,LINK,325,9636,4729,​ ​ ​ Simon_BSCX,0,8,cluster_0
slipknot,LINK,0,0,0,Slipknot,0,0,cluster_0
sohelrana12115,SOL,256,4062,4658,OGil Loves,0,2062,cluster_0
sol_togra,SOL,16,195,518,SoL,0,60,cluster_0
spacialjones,LINK,707,77276,75576,FBH,8,770,cluster_0
sparkobuzzer,SOL,392,80764,359,sparkobuzzer,36,1657,cluster_0
stacy90467543,SHIB,8,156,77,stacy,1,17,cluster_0
stealnfts,SOL,0,20,0,The NFThief,0,0,cluster_0
stuartsmyth66,LINK,7459,23638,37440,Stuart Smyth,61,5871,cluster_0
subtom69,LINK,584,7532,38698,Latex Tom,2,1132,cluster_0
sumon858238,LINK,23,251,211,Sk Sumon,0,363,cluster_0
sunday06148165,SOL,524,6238,3520,Sunday.anon,3,3035,cluster_0
susujaemcityx,SHIB,68,15490,9299,🤞🍀🍀susuriego 🍀🍀🤞,0,3351,cluster_0
t134340p,LINK,29,34049,65877,134340,0,126,cluster_0
t1orc,DOGE,0,0,0,Toruc,0,0,cluster_0
taberyu_tki,LINK,0,0,0,たべりゅ教,0,0,cluster_0
takah1582,LINK,2,288,49,たかひろ,0,14,cluster_0
takashi03221,SHIB,31,1392,415,たっくん,0,60,cluster_0
teddypoeny,LINK,680,46518,89642,Teddy 🌜,40,346,cluster_0
tej84521124,SHIB,87,433,4498,Tej,2,303,cluster_0
tekkyoo,LINK,1337,41953,102274,kam‎ ˖ ࣪⊹,2,501,cluster_0
teubwincityx,DOGE,11,1194,296,JODOH RUTO PENGEN BIGWIN,0,248,cluster_0
the_accountant8,SHIB,126,64853,14119,bunny queen🐰🐰🐰 @RichQUACK,1,1815,cluster_0
thekillakay_,LINK,178782,86978,49271,KYLE 🖕🏽,130,19197,cluster_0
thenewbt,LINK,697,8839,20861,BT Rey maquina! 🤖🛡️ y rigger.,15,344,cluster_0
thenewnft1,SHIB,8,338,165,The_New_NFT,0,128,cluster_0
therealbigdawg6,SOL,337,10828,25015,Super Saiyan Slim,2,321,cluster_0
tholitsrhep_21,SOL,51,22484,11888,tolits,3,2839,cluster_0
timofash2,SOL,0,0,0,Timofash,0,0,cluster_0
tommyblade22,SOL,633,2677,496,Tommyblade,2,3429,cluster_0
topikofthetone,SOL,1583,72506,29671,StereoType Topik,3,262,cluster_0
travistritt,SOL,0,0,0,Travis Tritt,0,0,cluster_0
trendya,SHIB,3,310,85,EstelitaJewellery,0,72,cluster_0
tspzxbxdods0po6,LINK,948,35794,38868,トヤマタケシ,26,965,cluster_0
tttaaattteee1,SHIB,53,713,621,tttaaattteee,1,308,cluster_0
tusonka,SOL,196,7135,11092,TetRagone,0,533,cluster_0
tweetbyworld,LINK,1499,67664,250,"Tweets for World, By World, To World",33,703,cluster_0
twinflame31816,LINK,0,0,0,Heather Hibdon,0,0,cluster_0
ub_py1,SHIB,35,1744,3381,xcv 🥷,1,221,cluster_0
unoreinsure,SHIB,0,0,0,Uno Re,0,0,cluster_0
vasiliy1971,LINK,4,113,73,Vasiliy,0,65,cluster_0
vector3,SOL,0,0,0,Vector 3,0,0,cluster_0
vershevciv,SHIB,3,226,10,Val Val,0,20,cluster_0
vida10001,SHIB,40,605,448,The Daily Pork,1,100,cluster_0
vietdep60070016,LINK,3,61,31,vietdeptrai,0,72,cluster_0
vnerdbooks,LINK,150,5487,17486,V_Nerdbooks1,3,322,cluster_0
voou_v,LINK,272,24674,25348,Hou ⁷ ᵗʰᵛ | REST,0,220,cluster_0
wang030208,LINK,3,42,21,Cmydream,0,121,cluster_0
waxdaybanger,SOL,15,441,265,Brandon Hughes,0,276,cluster_0
wealthchorm,SOL,105,579,1204,Wealthy J,0,440,cluster_0
will_frew1981,SHIB,815,1644,6013,Optimus Fegatron,0,165,cluster_0
williamleng2,SOL,155,12768,18266,Willy. com🇵🇪,0,111,cluster_0
winniebabybear,LINK,243,62988,805,วินนี่หวังพานิช=เจ่เจ๊นุนิว (เลือดบริสุทธิ์​)​,1,224,cluster_0
wisdomakinwunm1,SOL,0,0,0,Wisdom Akinwunmi,0,0,cluster_0
xuanchaves,SOL,291,4267,3336,Juan Miguel,3,269,cluster_0
xxyeonnie,SOL,295,5431,9694,syaa:) | UAS 3 hari,1,374,cluster_0
yasusativa,LINK,1130,26566,3339,Yasu 🔥,1,364,cluster_0
yellowballsmile,LINK,892,866,1636,Darrin Atkins,4,1823,cluster_0
ygkaumau,SHIB,167,33448,5954,makaroni schotel🥚,0,1090,cluster_0
yildizkerem3,LINK,7324,5775,255,Aslı Kerem,6,86,cluster_0
yt991173980,LINK,141,1642,742,紫玥,2,1145,cluster_0
yungyinkv,LINK,13075,267483,160610,#BuhariIsAFuckNigga,62,1220,cluster_0
zenoinu,SHIB,0,0,0,Zeno Inu - $ZENO,0,0,cluster_0
zhennansun1,DOGE,12,46,28,Aires,0,45,cluster_0
09ashkan70,DOGE,5,213,295,Ashkan70.09,0,15,cluster_0
1967alexs,LINK,19,600,10,Александр Санников,0,189,cluster_0
216immortal,LINK,113,14012,13889,Immortal,1,328,cluster_0
2nd_chance_emp,LINK,639,5328,2207,2nd Chance,20,512,cluster_0
845easy,LINK,48,1231,3413,Easy E 845,0,536,cluster_0
97thato,LINK,888,17930,24310,💯97Thato,0,1292,cluster_0
___mehdi94,SOL,863,55891,41915,𝑪𝒓𝒊𝒔𝒄𝒐,1,770,cluster_0
__aspire___,LINK,92,2116,15568,• 𝘈𝘴𝘱𝘪𝘳𝘦 • 🤍,0,23,cluster_0
_darlingyouare,LINK,94,19567,9849,𝕕𝕒𝕣𝕝𝕚𝕟𝕘 𝕪𝕠𝕦 𝕒𝕣𝕖,0,624,cluster_0
_kimberlygarza,SOL,0,0,0,ja$,0,0,cluster_0
_kwoncarat_,LINK,400,8133,8015,Ho Ho Horanghae 💎🐯,0,990,cluster_0
_moonystar,SOL,26,118,136,bibi,0,54,cluster_0
_omo_buhari,SOL,0,0,0,↗,0,0,cluster_0
_vnaura,LINK,476,1196,746,RARA,1,506,cluster_0
abasfreshly,SOL,153,3937,4996,👑Morah_,0,1644,cluster_0
achinthiv,LINK,410,485,597,Achinthi Vithanage,4,463,cluster_0
adelakunolatun2,LINK,2712,2616,9462,bosunwoods16.anon,1,4011,cluster_0
adnanshaikhx22,SHIB,18,819,321,Ady²,0,268,cluster_0
aftermathisland,SHIB,3389,2607,4602,Aftermath Islands,4,993,cluster_0
age_sol,SOL,28,1467,3864,IceAgeAurelionSol,0,170,cluster_0
aguimhie,SHIB,45,11168,5546,🙏❤️karen the Luckyone❤️🙏,0,2515,cluster_0
ahmeddigor0477,LINK,621,13916,16336,Ahmet Yilmaz,0,1080,cluster_0
ainskaroo,SHIB,94,1026,4650,Ainskaru_HELLSING_Vampireslayer,0,121,cluster_0
airdob72158179,LINK,18,2467,1818,AIRDOB BANGLA 🌹🌹,0,1134,cluster_0
ajan2160,LINK,0,4,8,Ali_Jan2160,0,36,cluster_0
akgn14mocuishle,SOL,5,565,443,Mocuishle,1,396,cluster_0
albertossauro,SOL,1131,10755,43737,Alberto Pilati,8,744,cluster_0
ali85575000ali,LINK,4,169,136,Ali,0,84,cluster_0
alisia_girl,LINK,124,1326,2754,stevie.alisia.girl@gmail.com,0,122,cluster_0
aminahammadi5,SOL,47,2464,901,Amina Hammadi,0,1660,cluster_0
amit87884787,LINK,61,20138,13745,Amit,1,92,cluster_0
amitdawd,SOL,11,692,1005,AmitDwd,0,84,cluster_0
amoraous_,LINK,4049,299,2201,Amora 🍑 | TOP 2%,11,498,cluster_0
